,customer_id,Recency,Frequency,Monetary,R,F,M,RFM_score,Segment,CLASS
12181,207184,5,3,22.19,3,1,1,311,One-timer,TIN
12184,207221,26,3,44.86,3,1,1,311,One-timer,TIN
12191,207352,69,1,8.9,2,1,1,211,One-timer,CHEAP
12200,207529,55,2,41.01,2,1,1,211,One-timer,TIN
12207,207754,57,2,6.2,2,1,1,211,One-timer,CHEAP
12208,207768,51,2,54.58,2,1,1,211,One-timer,TIN
12209,207771,3,1,4.88,3,1,1,311,One-timer,CHEAP
12213,207808,24,1,12.850000000000001,3,1,1,311,One-timer,CHEAP
12215,207842,11,2,31.640000000000004,3,1,1,311,One-timer,TIN
12218,207857,73,2,202.09,2,1,1,211,One-timer,COPPER
12221,207950,43,2,22.0,2,1,1,211,One-timer,TIN
12225,208093,21,1,8.84,3,1,1,311,One-timer,CHEAP
12228,208138,43,2,11.98,2,1,1,211,One-timer,CHEAP
12229,208140,61,3,52.720000000000006,2,1,1,211,One-timer,TIN
12232,208254,33,3,12.83,3,1,1,311,One-timer,CHEAP
12235,208371,62,2,7.98,2,1,1,211,One-timer,CHEAP
12237,208399,12,2,20.7,3,1,1,311,One-timer,TIN
12239,208438,65,2,92.97999999999999,2,1,1,211,One-timer,COPPER
12247,208622,53,2,10.07,2,1,1,211,One-timer,CHEAP
12250,208709,65,3,62.54,2,1,1,211,One-timer,COPPER
12256,208791,73,2,293.78999999999996,2,1,1,211,One-timer,COPPER
12257,208792,65,2,22.89,2,1,1,211,One-timer,TIN
12258,208795,54,2,21.71,2,1,1,211,One-timer,TIN
12259,208831,47,1,119.99000000000001,2,1,1,211,One-timer,COPPER
12260,208840,20,3,14.19,3,1,1,311,One-timer,CHEAP
12262,208850,46,1,7.800000000000001,2,1,1,211,One-timer,CHEAP
12269,209035,61,3,72.19,2,1,1,211,One-timer,COPPER
12274,209067,6,2,283.66,3,1,1,311,One-timer,COPPER
12280,209161,11,1,459.0,3,1,1,311,One-timer,COPPER
12285,209271,44,1,49.9,2,1,1,211,One-timer,TIN
12288,209312,24,2,15.450000000000001,3,1,1,311,One-timer,CHEAP
12295,209446,23,2,14.430000000000001,3,1,1,311,One-timer,CHEAP
12298,209504,66,3,23.92,2,1,1,211,One-timer,TIN
12301,209547,3,3,27.229999999999997,3,1,1,311,One-timer,TIN
12304,209591,62,2,16.08,2,1,1,211,One-timer,TIN
12315,209893,27,1,13.549999999999999,3,1,1,311,One-timer,CHEAP
12321,210052,42,2,83.61,2,1,1,211,One-timer,COPPER
12326,210151,17,2,35.5,3,1,1,311,One-timer,TIN
12335,210257,65,3,21.439999999999998,2,1,1,211,One-timer,TIN
12340,210317,33,1,46.7,3,1,1,311,One-timer,TIN
12346,210363,11,1,4.95,3,1,1,311,One-timer,CHEAP
12349,210410,29,2,8.64,3,1,1,311,One-timer,CHEAP
12352,210441,50,2,17.25,2,1,1,211,One-timer,TIN
12357,210514,25,1,39.04,3,1,1,311,One-timer,TIN
12359,210531,72,3,48.480000000000004,2,1,1,211,One-timer,TIN
12368,210701,66,3,149.99,2,1,1,211,One-timer,COPPER
12372,210710,4,2,47.13,3,1,1,311,One-timer,TIN
12376,210781,65,2,11.850000000000001,2,1,1,211,One-timer,CHEAP
12377,210821,23,1,4.9,3,1,1,311,One-timer,CHEAP
12379,210836,55,3,17.09,2,1,1,211,One-timer,TIN
12380,210856,24,3,845.65,3,1,2,312,One-timer,COPPER
12389,210943,68,1,19.05,2,1,1,211,One-timer,TIN
12396,211015,44,2,54.8,2,1,1,211,One-timer,TIN
12397,211016,46,3,10.2,2,1,1,211,One-timer,CHEAP
12400,211041,4,2,26.79,3,1,1,311,One-timer,TIN
12405,211195,31,3,52.14,3,1,1,311,One-timer,TIN
12408,211270,20,1,7.96,3,1,1,311,One-timer,CHEAP
12409,211352,3,2,23.4,3,1,1,311,One-timer,TIN
12412,211382,47,1,3.25,2,1,1,211,One-timer,CHEAP
12421,211602,24,1,7.94,3,1,1,311,One-timer,CHEAP
12425,211694,30,1,37.98,3,1,1,311,One-timer,TIN
12431,211852,68,1,2.9,2,1,1,211,One-timer,CHEAP
12434,211868,30,3,89.8,3,1,1,311,One-timer,COPPER
12435,211869,45,1,13.99,2,1,1,211,One-timer,CHEAP
12437,211926,30,1,4.5,3,1,1,311,One-timer,CHEAP
12444,212059,25,2,81.55,3,1,1,311,One-timer,COPPER
12451,212183,41,3,33.09,2,1,1,211,One-timer,TIN
12455,212213,73,1,9.9,2,1,1,211,One-timer,CHEAP
12456,212220,6,2,122.38,3,1,1,311,One-timer,COPPER
12460,212279,58,3,59.35,2,1,1,211,One-timer,COPPER
12463,212301,31,1,17.16,3,1,1,311,One-timer,TIN
12467,212465,66,2,114.52,2,1,1,211,One-timer,COPPER
12472,212536,35,3,63.9,2,1,1,211,One-timer,COPPER
12473,212557,37,1,0.5,2,1,1,211,One-timer,CHEAP
12480,212649,5,2,22.18,3,1,1,311,One-timer,TIN
12483,212705,66,2,9.8,2,1,1,211,One-timer,CHEAP
12489,212811,30,3,34.9,3,1,1,311,One-timer,TIN
12492,212896,37,1,7.8,2,1,1,211,One-timer,CHEAP
12499,213220,28,2,25.32,3,1,1,311,One-timer,TIN
12506,213335,30,2,337.1,3,1,1,311,One-timer,COPPER
12509,213391,58,3,15.07,2,1,1,211,One-timer,CHEAP
12512,213405,72,1,14.399999999999999,2,1,1,211,One-timer,CHEAP
12516,213439,29,1,2.8,3,1,1,311,One-timer,CHEAP
12528,213616,20,2,5.0,3,1,1,311,One-timer,CHEAP
12531,213646,37,1,13.49,2,1,1,211,One-timer,CHEAP
12536,213745,65,1,63.449999999999996,2,1,1,211,One-timer,COPPER
12543,213862,30,1,31.78,3,1,1,311,One-timer,TIN
12546,213906,5,3,92.51,3,1,1,311,One-timer,COPPER
12549,213956,36,1,2.19,2,1,1,211,One-timer,CHEAP
12551,214005,72,1,30.580000000000002,2,1,1,211,One-timer,TIN
12564,214245,65,3,24.74,2,1,1,211,One-timer,TIN
12566,214280,57,3,134.65,2,1,1,211,One-timer,COPPER
12573,214441,37,1,30.700000000000003,2,1,1,211,One-timer,TIN
12575,214456,66,1,149.76,2,1,1,211,One-timer,COPPER
12577,214500,3,3,5.5,3,1,1,311,One-timer,CHEAP
12579,214513,71,1,4.9,2,1,1,211,One-timer,CHEAP
12580,214534,24,3,50.739999999999995,3,1,1,311,One-timer,TIN
12581,214554,73,3,72.65,2,1,1,211,One-timer,COPPER
12582,214564,61,1,3.09,2,1,1,211,One-timer,CHEAP
12584,214612,40,2,31.86,2,1,1,211,One-timer,TIN
12586,214669,45,2,82.4,2,1,1,211,One-timer,COPPER
12587,214725,40,3,7.959999999999994,2,1,1,211,One-timer,CHEAP
12588,214789,19,2,49.57,3,1,1,311,One-timer,TIN
12592,214855,23,2,61.81,3,1,1,311,One-timer,COPPER
12597,214987,50,3,30.119999999999997,2,1,1,211,One-timer,TIN
12600,215135,11,3,13.889999999999999,3,1,1,311,One-timer,CHEAP
12603,215189,18,1,4.49,3,1,1,311,One-timer,CHEAP
12615,215563,37,2,18.39,2,1,1,211,One-timer,TIN
12619,215678,66,1,5.1,2,1,1,211,One-timer,CHEAP
12625,215732,18,3,60.879999999999995,3,1,1,311,One-timer,COPPER
12626,215785,19,2,4.0,3,1,1,311,One-timer,CHEAP
12627,215795,20,3,148.96,3,1,1,311,One-timer,COPPER
12630,215868,62,3,227.04000000000002,2,1,1,211,One-timer,COPPER
12631,215961,58,2,167.54,2,1,1,211,One-timer,COPPER
12638,216057,69,3,434.09000000000003,2,1,1,211,One-timer,COPPER
12647,216176,23,3,14.16,3,1,1,311,One-timer,CHEAP
12650,216284,21,2,88.14,3,1,1,311,One-timer,COPPER
12652,216348,36,2,139.3,2,1,1,211,One-timer,COPPER
12653,216366,58,3,163.46,2,1,1,211,One-timer,COPPER
12657,216501,72,3,167.85999999999999,2,1,1,211,One-timer,COPPER
12658,216509,7,1,42.43,3,1,1,311,One-timer,TIN
12663,216596,63,3,17.07,2,1,1,211,One-timer,TIN
12664,216627,44,2,96.25,2,1,1,211,One-timer,COPPER
12674,216902,45,2,15.83,2,1,1,211,One-timer,CHEAP
12677,216969,39,2,79.89,2,1,1,211,One-timer,COPPER
12685,217206,33,1,17.99,3,1,1,311,One-timer,TIN
12686,217260,70,2,24.1,2,1,1,211,One-timer,TIN
12690,217362,1,2,15.75,3,1,1,311,One-timer,CHEAP
12691,217386,31,2,18.04,3,1,1,311,One-timer,TIN
12693,217440,41,3,127.75999999999999,2,1,1,211,One-timer,COPPER
12694,217469,19,2,103.86999999999999,3,1,1,311,One-timer,COPPER
12695,217504,45,1,49.18,2,1,1,211,One-timer,TIN
12697,217568,39,1,9.24,2,1,1,211,One-timer,CHEAP
12704,217700,71,2,210.56,2,1,1,211,One-timer,COPPER
12707,217715,10,1,2.95,3,1,1,311,One-timer,CHEAP
12714,217870,58,2,25.47,2,1,1,211,One-timer,TIN
12718,218019,33,2,61.34,3,1,1,311,One-timer,COPPER
12726,218194,33,2,149.44,3,1,1,311,One-timer,COPPER
12728,218218,18,3,86.45,3,1,1,311,One-timer,COPPER
12731,218331,29,1,17.33,3,1,1,311,One-timer,TIN
12735,218400,21,3,16.39,3,1,1,311,One-timer,TIN
12736,218412,42,3,162.82,2,1,1,211,One-timer,COPPER
12737,218478,35,2,219.43,2,1,1,211,One-timer,COPPER
12741,218562,48,3,44.839999999999996,2,1,1,211,One-timer,TIN
12747,218625,68,1,4.18,2,1,1,211,One-timer,CHEAP
12749,218697,37,3,15.64,2,1,1,211,One-timer,CHEAP
12750,218746,30,2,15.98,3,1,1,311,One-timer,TIN
12752,218835,72,1,0.5,2,1,1,211,One-timer,CHEAP
12758,218966,13,1,69.98,3,1,1,311,One-timer,COPPER
12774,219473,13,1,69.41,3,1,1,311,One-timer,COPPER
12777,219511,1,2,169.67,3,1,1,311,One-timer,COPPER
12787,219684,4,2,53.91,3,1,1,311,One-timer,TIN
12795,219833,0,1,12.0,3,1,1,311,One-timer,CHEAP
12799,219940,19,2,54.9,3,1,1,311,One-timer,TIN
12800,219958,49,3,28.75,2,1,1,211,One-timer,TIN
12813,220195,74,1,3.6100000000000003,2,1,1,211,One-timer,CHEAP
12814,220224,21,2,17.41,3,1,1,311,One-timer,TIN
12815,220228,23,1,32.35,3,1,1,311,One-timer,TIN
12816,220230,65,3,11.290000000000001,2,1,1,211,One-timer,CHEAP
12822,220358,37,2,141.06,2,1,1,211,One-timer,COPPER
12828,220454,55,1,8.899999999999999,2,1,1,211,One-timer,CHEAP
12829,220469,50,3,25.549999999999997,2,1,1,211,One-timer,TIN
12831,220487,36,2,19.94,2,1,1,211,One-timer,TIN
12832,220495,25,3,296.49,3,1,1,311,One-timer,COPPER
12835,220544,1,1,2.35,3,1,1,311,One-timer,CHEAP
12838,220633,28,2,28.04,3,1,1,311,One-timer,TIN
12839,220645,30,3,462.85,3,1,2,312,One-timer,COPPER
12840,220657,59,2,42.5,2,1,1,211,One-timer,TIN
12844,220690,32,2,6.4,3,1,1,311,One-timer,CHEAP
12846,220750,4,3,56.870000000000005,3,1,1,311,One-timer,TIN
12848,220773,50,2,59.18000000000001,2,1,1,211,One-timer,COPPER
12850,220800,67,3,12.19,2,1,1,211,One-timer,CHEAP
12857,220915,69,1,2.6,2,1,1,211,One-timer,CHEAP
12859,220969,35,1,7.79,2,1,1,211,One-timer,CHEAP
12860,220980,45,3,21.77,2,1,1,211,One-timer,TIN
12867,221233,51,3,1.8,2,1,1,211,One-timer,CHEAP
12872,221316,10,2,124.17999999999999,3,1,1,311,One-timer,COPPER
12873,221335,22,3,67.18,3,1,1,311,One-timer,COPPER
12877,221469,18,2,14.7,3,1,1,311,One-timer,CHEAP
12879,221482,51,3,53.25000000000001,2,1,1,211,One-timer,TIN
12882,221528,53,2,8.09,2,1,1,211,One-timer,CHEAP
12886,221638,34,2,27.78,3,1,1,311,One-timer,TIN
12887,221657,4,3,59.0,3,1,1,311,One-timer,COPPER
12888,221662,63,2,26.89,2,1,1,211,One-timer,TIN
12890,221682,44,1,1.9,2,1,1,211,One-timer,CHEAP
12891,221708,30,2,9.34,3,1,1,311,One-timer,CHEAP
12895,221772,29,1,0.2,3,1,1,311,One-timer,CHEAP
12900,221821,12,1,26.61,3,1,1,311,One-timer,TIN
12905,222017,46,1,4.25,2,1,1,211,One-timer,CHEAP
12908,222062,68,2,6.950000000000001,2,1,1,211,One-timer,CHEAP
12910,222080,34,1,14.930000000000001,3,1,1,311,One-timer,CHEAP
12913,222117,53,3,25.47,2,1,1,211,One-timer,TIN
12917,222255,21,2,145.74999999999997,3,1,1,311,One-timer,COPPER
12919,222332,30,2,24.8,3,1,1,311,One-timer,TIN
12920,222353,3,2,35.78,3,1,1,311,One-timer,TIN
12925,222483,28,1,2.8,3,1,1,311,One-timer,CHEAP
12930,222609,67,1,5.9,2,1,1,211,One-timer,CHEAP
12936,222696,19,2,4.779999999999999,3,1,1,311,One-timer,CHEAP
12937,222709,39,2,23.47,2,1,1,211,One-timer,TIN
12942,222805,28,1,19.96,3,1,1,311,One-timer,TIN
12944,222821,44,1,5.94,2,1,1,211,One-timer,CHEAP
12946,222851,52,2,126.99000000000001,2,1,1,211,One-timer,COPPER
12952,222977,13,1,2.7,3,1,1,311,One-timer,CHEAP
12958,223196,73,2,3.1900000000000013,2,1,1,211,One-timer,CHEAP
12961,223225,61,3,100.30000000000001,2,1,1,211,One-timer,COPPER
12963,223236,5,1,95.88,3,1,1,311,One-timer,COPPER
12975,223496,7,2,53.39,3,1,1,311,One-timer,TIN
12978,223515,21,3,53.64,3,1,1,311,One-timer,TIN
12979,223543,58,1,20.93,2,1,1,211,One-timer,TIN
12981,223569,18,3,62.45,3,1,1,311,One-timer,COPPER
12982,223631,62,2,20.880000000000003,2,1,1,211,One-timer,TIN
12983,223703,30,2,15.75,3,1,1,311,One-timer,CHEAP
12991,223826,56,1,13.540000000000001,2,1,1,211,One-timer,CHEAP
12992,223844,0,2,7.24,3,1,1,311,One-timer,CHEAP
12993,223945,25,3,46.89,3,1,1,311,One-timer,TIN
12995,223950,52,3,9.3,2,1,1,211,One-timer,CHEAP
12996,223983,50,3,623.9499999999999,2,1,2,212,One-timer,COPPER
13002,224075,67,2,10.96,2,1,1,211,One-timer,CHEAP
13008,224132,31,2,6.98,3,1,1,311,One-timer,CHEAP
13012,224175,31,2,45.39,3,1,1,311,One-timer,TIN
13013,224194,44,2,22.35,2,1,1,211,One-timer,TIN
13015,224219,3,3,183.84,3,1,1,311,One-timer,COPPER
13024,224400,26,3,39.980000000000004,3,1,1,311,One-timer,TIN
13025,224414,11,2,5.45,3,1,1,311,One-timer,CHEAP
13026,224432,24,2,1069.1,3,1,2,312,One-timer,COPPER
13027,224436,10,2,16.6,3,1,1,311,One-timer,TIN
13034,224507,21,3,173.88,3,1,1,311,One-timer,COPPER
13036,224531,53,3,29.019999999999996,2,1,1,211,One-timer,TIN
13042,224756,7,2,20.35,3,1,1,311,One-timer,TIN
13043,224762,3,3,10.39,3,1,1,311,One-timer,CHEAP
13049,224817,30,2,48.58,3,1,1,311,One-timer,TIN
13052,224884,5,2,5.09,3,1,1,311,One-timer,CHEAP
13055,224938,23,2,15.059999999999999,3,1,1,311,One-timer,CHEAP
13057,224978,45,1,9.99,2,1,1,211,One-timer,CHEAP
13059,224985,70,1,2.6,2,1,1,211,One-timer,CHEAP
13060,224999,27,3,132.84,3,1,1,311,One-timer,COPPER
13062,225082,53,2,9.9,2,1,1,211,One-timer,CHEAP
13066,225104,24,3,13.53,3,1,1,311,One-timer,CHEAP
13079,225405,44,1,19.9,2,1,1,211,One-timer,TIN
13083,225497,73,3,39.779999999999994,2,1,1,211,One-timer,TIN
13089,225605,21,2,20.979999999999997,3,1,1,311,One-timer,TIN
13093,225668,6,3,8.4,3,1,1,311,One-timer,CHEAP
13094,225681,3,3,42.190000000000005,3,1,1,311,One-timer,TIN
13095,225685,39,3,209.82,2,1,1,211,One-timer,COPPER
13098,225764,45,2,115.47,2,1,1,211,One-timer,COPPER
13099,225778,19,1,7.99,3,1,1,311,One-timer,CHEAP
13101,225799,22,2,35.4,3,1,1,311,One-timer,TIN
13107,225895,25,2,195.0,3,1,1,311,One-timer,COPPER
13112,225998,69,2,17.2,2,1,1,211,One-timer,TIN
13113,226000,5,3,89.48,3,1,1,311,One-timer,COPPER
13114,226043,30,2,24.18,3,1,1,311,One-timer,TIN
13116,226130,4,2,4.29,3,1,1,311,One-timer,CHEAP
13117,226136,45,2,13.98,2,1,1,211,One-timer,CHEAP
13124,226326,42,1,24.6,2,1,1,211,One-timer,TIN
13126,226450,45,2,40.830000000000005,2,1,1,211,One-timer,TIN
13128,226469,36,3,39.28,2,1,1,211,One-timer,TIN
13130,226481,10,2,20.84,3,1,1,311,One-timer,TIN
13133,226531,52,2,6.1000000000000005,2,1,1,211,One-timer,CHEAP
13147,226880,69,3,32.21,2,1,1,211,One-timer,TIN
13150,226894,6,3,57.95,3,1,1,311,One-timer,COPPER
13152,226906,24,3,77.86999999999999,3,1,1,311,One-timer,COPPER
13157,227008,12,2,23.15,3,1,1,311,One-timer,TIN
13158,227032,6,3,6.25,3,1,1,311,One-timer,CHEAP
13160,227063,1,2,31.5,3,1,1,311,One-timer,TIN
13163,227128,7,2,78.95,3,1,1,311,One-timer,COPPER
13164,227243,0,1,17.35,3,1,1,311,One-timer,TIN
13165,227292,49,1,14.99,2,1,1,211,One-timer,CHEAP
13173,227407,23,2,1.4,3,1,1,311,One-timer,CHEAP
13174,227424,57,1,2.95,2,1,1,211,One-timer,CHEAP
13175,227438,73,1,5.45,2,1,1,211,One-timer,CHEAP
13176,227466,44,1,12.84,2,1,1,211,One-timer,CHEAP
13179,227535,30,1,2.99,3,1,1,311,One-timer,CHEAP
13184,227615,70,2,37.03,2,1,1,211,One-timer,TIN
13186,227636,30,2,39.980000000000004,3,1,1,311,One-timer,TIN
13187,227637,33,3,795.2800000000001,3,1,2,312,One-timer,COPPER
13189,227664,51,1,126.89,2,1,1,211,One-timer,COPPER
13191,227778,37,2,91.99,2,1,1,211,One-timer,COPPER
13195,227843,66,1,5.99,2,1,1,211,One-timer,CHEAP
13201,228020,0,1,3.99,3,1,1,311,One-timer,CHEAP
13205,228089,52,2,362.6,2,1,1,211,One-timer,COPPER
13206,228097,73,3,51.470000000000006,2,1,1,211,One-timer,TIN
13207,228124,36,2,29.800000000000004,2,1,1,211,One-timer,TIN
13212,228189,45,3,47.69,2,1,1,211,One-timer,TIN
13213,228198,63,3,67.25,2,1,1,211,One-timer,COPPER
13219,228328,45,1,7.9,2,1,1,211,One-timer,CHEAP
13224,228375,11,2,16.03,3,1,1,311,One-timer,TIN
13225,228417,65,3,14.63,2,1,1,211,One-timer,CHEAP
13226,228496,46,2,28.48,2,1,1,211,One-timer,TIN
13228,228526,3,3,169.48000000000002,3,1,1,311,One-timer,COPPER
13234,228638,21,2,6.800000000000001,3,1,1,311,One-timer,CHEAP
13235,228640,23,1,3.99,3,1,1,311,One-timer,CHEAP
13236,228681,18,2,49.7,3,1,1,311,One-timer,TIN
13242,228785,25,2,36.89,3,1,1,311,One-timer,TIN
13243,228793,44,2,14.500000000000002,2,1,1,211,One-timer,CHEAP
13245,228884,39,1,17.490000000000002,2,1,1,211,One-timer,TIN
13247,228950,72,3,14.99,2,1,1,211,One-timer,CHEAP
13248,228970,70,2,20.39,2,1,1,211,One-timer,TIN
13249,228985,52,2,120.85,2,1,1,211,One-timer,COPPER
13253,229032,30,2,55.0,3,1,1,311,One-timer,TIN
13262,229358,10,3,14.59,3,1,1,311,One-timer,CHEAP
13264,229389,26,1,15.440000000000001,3,1,1,311,One-timer,CHEAP
13268,229428,5,3,873.65,3,1,2,312,One-timer,COPPER
13270,229440,41,1,11.98,2,1,1,211,One-timer,CHEAP
13271,229442,60,3,11.049999999999999,2,1,1,211,One-timer,CHEAP
13274,229556,37,3,18.299999999999997,2,1,1,211,One-timer,TIN
13277,229697,44,1,36.38,2,1,1,211,One-timer,TIN
13279,229730,25,1,6.45,3,1,1,311,One-timer,CHEAP
13283,229868,66,2,15.8,2,1,1,211,One-timer,CHEAP
13292,230088,23,1,0.5,3,1,1,311,One-timer,CHEAP
13296,230218,23,2,17.98,3,1,1,311,One-timer,TIN
13300,230283,5,1,0.99,3,1,1,311,One-timer,CHEAP
13301,230310,18,2,18.4,3,1,1,311,One-timer,TIN
13309,230529,30,3,65.02,3,1,1,311,One-timer,COPPER
13318,230761,34,3,9.9,3,1,1,311,One-timer,CHEAP
13320,230831,36,2,10.09,2,1,1,211,One-timer,CHEAP
13321,230848,45,2,24.33,2,1,1,211,One-timer,TIN
13323,230913,5,1,29.15,3,1,1,311,One-timer,TIN
13327,230980,72,2,19.25,2,1,1,211,One-timer,TIN
13328,230982,56,2,80.89,2,1,1,211,One-timer,COPPER
13331,231048,31,2,26.72,3,1,1,311,One-timer,TIN
13332,231058,52,2,61.14,2,1,1,211,One-timer,COPPER
13333,231125,30,1,5.9,3,1,1,311,One-timer,CHEAP
13334,231128,23,2,5.89,3,1,1,311,One-timer,CHEAP
13338,231223,65,3,53.580000000000005,2,1,1,211,One-timer,TIN
13342,231276,44,1,3.5,2,1,1,211,One-timer,CHEAP
13343,231286,54,2,13.790000000000001,2,1,1,211,One-timer,CHEAP
13345,231317,64,1,72.55,2,1,1,211,One-timer,COPPER
13347,231331,10,1,97.75,3,1,1,311,One-timer,COPPER
13348,231357,69,3,51.19,2,1,1,211,One-timer,TIN
13349,231371,52,2,15.38,2,1,1,211,One-timer,CHEAP
13351,231404,23,2,63.870000000000005,3,1,1,311,One-timer,COPPER
13353,231411,61,3,71.54,2,1,1,211,One-timer,COPPER
13354,231424,45,1,139.0,2,1,1,211,One-timer,COPPER
13358,231480,0,3,251.76999999999998,3,1,1,311,One-timer,COPPER
13359,231483,26,2,50.720000000000006,3,1,1,311,One-timer,TIN
13362,231561,44,1,25.39,2,1,1,211,One-timer,TIN
13364,231633,27,2,7.550000000000001,3,1,1,311,One-timer,CHEAP
13365,231681,37,2,67.75999999999999,2,1,1,211,One-timer,COPPER
13367,231691,29,3,22.29,3,1,1,311,One-timer,TIN
13368,231740,59,2,3.48,2,1,1,211,One-timer,CHEAP
13369,231760,33,2,42.38,3,1,1,311,One-timer,TIN
13370,231779,36,2,33.4,2,1,1,211,One-timer,TIN
13374,231859,64,3,130.43,2,1,1,211,One-timer,COPPER
13378,231953,18,2,47.300000000000004,3,1,1,311,One-timer,TIN
13384,232051,43,1,4.0,2,1,1,211,One-timer,CHEAP
13388,232079,55,3,19.869999999999997,2,1,1,211,One-timer,TIN
13390,232139,22,3,33.470000000000006,3,1,1,311,One-timer,TIN
13394,232206,51,1,2.7,2,1,1,211,One-timer,CHEAP
13396,232239,23,2,29.2,3,1,1,311,One-timer,TIN
13400,232296,61,1,64.61,2,1,1,211,One-timer,COPPER
13406,232478,46,2,13.350000000000001,2,1,1,211,One-timer,CHEAP
13407,232498,6,1,3.65,3,1,1,311,One-timer,CHEAP
13415,232636,46,1,2.0,2,1,1,211,One-timer,CHEAP
13417,232667,70,2,15.94,2,1,1,211,One-timer,TIN
13426,233015,42,3,452.77,2,1,1,211,One-timer,COPPER
13427,233023,7,1,3.7,3,1,1,311,One-timer,CHEAP
13428,233045,74,1,3.15,2,1,1,211,One-timer,CHEAP
13433,233188,30,1,8.85,3,1,1,311,One-timer,CHEAP
13435,233258,46,2,5.1000000000000005,2,1,1,211,One-timer,CHEAP
13440,233422,45,1,15.79,2,1,1,211,One-timer,CHEAP
13448,233564,68,2,62.73,2,1,1,211,One-timer,COPPER
13451,233615,35,3,17.23,2,1,1,211,One-timer,TIN
13455,233760,3,3,12.650000000000002,3,1,1,311,One-timer,CHEAP
13463,233873,26,2,23.79,3,1,1,311,One-timer,TIN
13464,233907,5,1,22.950000000000003,3,1,1,311,One-timer,TIN
13473,234140,39,2,110.55,2,1,1,211,One-timer,COPPER
13476,234187,34,2,89.91999999999999,3,1,1,311,One-timer,COPPER
13478,234192,5,3,49.76,3,1,1,311,One-timer,TIN
13479,234231,71,2,86.36,2,1,1,211,One-timer,COPPER
13483,234303,0,1,10.15,3,1,1,311,One-timer,CHEAP
13484,234304,70,1,9.9,2,1,1,211,One-timer,CHEAP
13485,234340,50,1,181.89,2,1,1,211,One-timer,COPPER
13493,234487,57,1,5.4,2,1,1,211,One-timer,CHEAP
13499,234610,73,2,133.89,2,1,1,211,One-timer,COPPER
13506,234764,48,1,11.99,2,1,1,211,One-timer,CHEAP
13507,234796,66,2,18.91,2,1,1,211,One-timer,TIN
13513,234925,52,3,79.58000000000001,2,1,1,211,One-timer,COPPER
13515,234949,30,2,53.91,3,1,1,311,One-timer,TIN
13517,235017,19,1,1.0,3,1,1,311,One-timer,CHEAP
13518,235040,1,2,32.35,3,1,1,311,One-timer,TIN
13519,235044,1,3,16.5,3,1,1,311,One-timer,TIN
13521,235067,56,3,38.63,2,1,1,211,One-timer,TIN
13522,235082,69,3,86.71999999999998,2,1,1,211,One-timer,COPPER
13526,235110,0,2,0.7,3,1,1,311,One-timer,CHEAP
13528,235151,35,3,45.9,2,1,1,211,One-timer,TIN
13530,235199,20,2,66.27,3,1,1,311,One-timer,COPPER
13531,235216,19,3,25.599999999999998,3,1,1,311,One-timer,TIN
13547,235496,7,2,128.98,3,1,1,311,One-timer,COPPER
13548,235521,3,2,42.940000000000005,3,1,1,311,One-timer,TIN
13550,235557,7,3,11.09,3,1,1,311,One-timer,CHEAP
13551,235577,63,3,34.35,2,1,1,211,One-timer,TIN
13553,235598,6,1,71.38,3,1,1,311,One-timer,COPPER
13554,235599,22,1,1.95,3,1,1,311,One-timer,CHEAP
13561,235720,37,2,34.55,2,1,1,211,One-timer,TIN
13562,235783,26,1,1.99,3,1,1,311,One-timer,CHEAP
13563,235799,6,2,4.0,3,1,1,311,One-timer,CHEAP
13569,235914,12,3,8.83,3,1,1,311,One-timer,CHEAP
13576,236024,37,1,47.94,2,1,1,211,One-timer,TIN
13582,236155,40,2,27.53,2,1,1,211,One-timer,TIN
13583,236165,42,3,59.68,2,1,1,211,One-timer,COPPER
13584,236210,66,3,357.2,2,1,1,211,One-timer,COPPER
13585,236212,49,1,96.43,2,1,1,211,One-timer,COPPER
13591,236438,13,3,374.25,3,1,1,311,One-timer,COPPER
13594,236586,74,1,4.8500000000000005,2,1,1,211,One-timer,CHEAP
13595,236593,6,3,29.389999999999997,3,1,1,311,One-timer,TIN
13597,236637,39,2,28.389999999999997,2,1,1,211,One-timer,TIN
13598,236652,23,3,23.4,3,1,1,311,One-timer,TIN
13599,236682,11,3,555.37,3,1,2,312,One-timer,COPPER
13606,236791,6,1,13.75,3,1,1,311,One-timer,CHEAP
13609,236826,0,1,5.95,3,1,1,311,One-timer,CHEAP
13611,236841,47,3,44.540000000000006,2,1,1,211,One-timer,TIN
13619,236952,29,3,112.58,3,1,1,311,One-timer,COPPER
13620,236982,19,2,7.23,3,1,1,311,One-timer,CHEAP
13625,237115,22,2,93.92,3,1,1,311,One-timer,COPPER
13628,237150,0,2,57.18,3,1,1,311,One-timer,COPPER
13634,237335,5,3,15.7,3,1,1,311,One-timer,CHEAP
13636,237366,28,3,21.75,3,1,1,311,One-timer,TIN
13637,237375,41,2,15.83,2,1,1,211,One-timer,CHEAP
13639,237386,37,1,1.99,2,1,1,211,One-timer,CHEAP
13642,237488,55,1,5.99,2,1,1,211,One-timer,CHEAP
13644,237518,21,2,504.69,3,1,2,312,One-timer,COPPER
13649,237561,65,3,57.98,2,1,1,211,One-timer,COPPER
13656,237717,0,3,149.38,3,1,1,311,One-timer,COPPER
13668,237995,22,1,17.950000000000003,3,1,1,311,One-timer,TIN
